[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
50343,764,3500,14956,-21,-487,324,181649,90166
50483,1104,3520,15040,-254,374,-331,181410,90165
50623,716,3228,15056,-130,293,-269,181448,90273
50763,440,3488,15076,29,179,-97,181582,90165
50903,788,3528,15028,-148,-135,-111,181588,90221
51045,664,3580,15076,-86,-10,7,181643,90183
51185,704,3604,14944,-96,55,-56,181463,90184
51325,832,3572,15036,-123,41,-81,181583,90281
51465,772,3584,14920,-106,-53,26,181632,90235
51605,804,3652,15044,-240,40,-98,181684,90275
51747,932,3624,15044,-337,78,-137,181511,90148
51887,844,3468,14924,-270,86,-163,181607,90221
52027,836,3548,14952,-215,134,-136,181600,90337
52167,812,3496,15048,-227,65,-104,181715,90321
52307,788,3536,15020,-188,55,-56,181574,90267
52449,764,3392,15112,-191,133,-114,181566,90257
52589,788,3476,15048,-190,85,-70,181724,90255
52729,712,3492,15028,-167,88,-75,181746,90365
52869,784,3344,15108,-235,231,-52,181773,90366
53009,776,3492,15064,-211,105,-99,181608,90306
53149,784,3468,14960,-215,41,-124,181672,90266
53291,888,3540,15028,-153,5,-74,181861,90336
53431,740,3528,15024,-216,70,-161,181895,90393
53571,892,3512,15160,-181,139,-9,181688,90385
53711,828,3496,15008,-186,28,-103,181718,90350
53851,744,3504,15024,-171,119,-80,181739,90343
53993,708,3488,15016,-186,45,-68,181959,90373
54133,712,3412,15032,-167,153,-45,181862,90313
54273,948,3404,15016,-121,122,-36,181698,90475
54413,856,3452,15080,-167,85,-98,181804,90370
54553,820,3488,15184,-100,123,-36,181811,90392
54695,780,3528,15060,-177,164,-139,181956,90341
54835,812,3524,14916,-235,229,-75,181803,90396
54975,748,3468,14968,-199,98,-85,181806,90460
55115,740,3460,15068,-186,58,-78,181869,90451
55255,780,3456,15116,-197,41,-88,181943,90448
55395,664,3492,14980,-165,8,-178,181852,90398
55537,656,3456,15004,-202,99,-123,181889,90372
55677,840,3440,15012,-223,136,-81,181814,90463
55817,748,3472,15084,-182,134,-81,181862,90520
55957,740,3480,14980,-185,-53,-112,181936,90482
56097,720,3412,15008,-183,-5,-125,181773,90351
56239,748,3460,15008,-135,8,-102,181875,90440
56379,648,3408,15028,-189,91,-80,181837,90447
56519,696,3460,15060,-173,75,-72,181877,90584
56659,748,3392,14996,-136,198,-52,181932,90445
56799,756,3428,15176,-207,119,-82,181705,90436
56941,736,3432,15100,-168,28,-68,181878,90438
57081,804,3504,15064,-150,35,-4,181855,90484
57221,796,3500,15128,-99,220,58,181981,90571
57361,812,3552,15096,-134,16,32,181849,90492
57501,792,3540,14908,-183,194,-33,181826,90500
57641,644,3524,15032,-243,136,-139,181865,90503
57783,644,3512,15024,-205,39,-143,182105,90538
57923,752,3456,15028,-212,184,-104,182030,90564
58063,668,3504,15028,-167,37,-54,181798,90598
58203,780,3488,15020,-214,-139,-181,181932,90520
58343,796,3492,14968,-144,115,-66,181930,90577
58485,692,3384,14932,-204,74,-94,182124,90508
58625,856,3556,14976,-166,8,-117,181971,90558
58765,708,3356,15132,-173,53,-76,181874,90625
58905,816,3424,14984,-196,58,-117,181952,90641
59045,824,3456,15080,-219,65,-68,182038,90621
59185,864,3416,15048,-146,160,-76,182081,90577
59327,836,3448,15052,-198,69,-91,182004,90586
59467,748,3344,14968,-153,114,-79,181945,90539
59607,820,3504,14960,-197,54,-84,182009,90697
59747,620,3408,15076,-140,32,-13,182086,90658
59887,676,3316,15092,-145,7,-56,182048,90644
60027,756,3400,14996,-121,196,-22,181871,90613
60169,780,3452,15048,-122,89,-42,182075,90614
60309,828,3464,15040,-124,34,-50,182031,90680
60449,816,3488,15076,-161,13,-74,182107,90730
60589,932,3540,14992,-244,136,-109,181957,90631
60729,816,3504,15024,-184,72,-115,181933,90648
60871,660,3436,15056,-187,172,-103,182122,90639
61011,840,3528,15052,-194,61,-104,182126,90689
61151,780,3500,15184,-178,161,-61,182155,90762
61291,800,3460,14992,-173,58,-93,181996,90717
61431,792,3380,15100,-238,21,-125,182010,90706
61571,880,3464,15016,-148,27,-95,182078,90675
61713,856,3368,15140,-208,134,-59,182247,90732
61853,808,3448,15008,-166,54,-81,182109,90714
61993,628,3432,15144,-188,136,-85,181957,90819
62133,796,3444,14984,-202,0,-107,182079,90724
62273,796,3480,14996,-193,72,-78,182147,90754
62415,784,3392,15024,-177,118,-84,182252,90738
62555,828,3416,15112,-170,118,-40,182161,90706
62695,748,3400,15028,-120,58,-2,182087,90782
62835,876,3476,15152,-165,29,-73,182110,90833
62975,800,3468,14892,-149,62,-40,182243,90773
63115,792,3472,15096,-119,-3,-9,182253,90783
63257,824,3504,14984,-165,68,-70,182193,90706
63397,864,3612,15036,-126,25,-50,182171,90783
63537,888,3508,15024,-297,65,-158,182179,90852
63677,836,3484,14948,-231,106,-152,182276,90864
63817,808,3404,15144,-193,236,-100,182248,90817
63957,868,3444,15080,-204,150,-90,182132,90731
64099,820,3504,15028,-234,111,-96,182305,90805
64239,780,3504,14980,-162,55,-57,182278,90755
64379,876,3464,15116,-194,83,-86,182341,90981
64519,784,3404,14984,-193,6,-134,182312,90849
64659,812,3400,15048,-195,191,-62,182217,90845
64801,836,3392,15104,-199,103,-103,182259,90822
64941,800,3448,15008,-219,82,-93,182416,90823
65081,760,3488,15040,-181,93,-76,182426,90900
65221,840,3452,15072,-184,64,-65,182312,90907
65361,628,3432,15028,-170,57,-94,182274,90874
65501,848,3456,15044,-148,100,-19,182306,90863
65643,768,3428,15056,-123,39,-20,182548,90884
65783,836,3436,14944,-144,19,-40,182479,90867
65923,932,3548,15012,-108,66,-16,182319,90923
66063,808,3496,15016,-99,40,-3,182331,90921
66203,800,3568,14940,-204,73,-144,182367,90880
66343,864,3568,15032,-288,38,-177,182433,90871
66485,820,3500,15056,-248,171,-162,182563,90907
66625,800,3452,15044,-232,118,-141,182330,90910
66765,736,3452,15112,-214,68,-108,182353,90959
66905,732,3440,14972,-199,134,-118,182490,90890
67045,808,3384,14984,-150,162,-107,182498,90930
67187,840,3472,15096,-187,32,-122,182499,90860
67327,740,3448,14916,-178,95,-92,182391,90911
67467,912,3500,15076,-200,138,-57,182416,91024
67607,808,3492,14980,-199,71,-82,182504,91016
67747,876,3400,14960,-114,76,-68,182579,90959
67887,792,3460,15020,-238,61,-129,182389,90858
68029,836,3396,15012,-186,101,-70,182533,90940
68169,820,3520,14984,-155,60,-84,182492,90926
68309,776,3404,15080,-152,173,-97,182519,91082
68449,704,3360,15132,-197,22,-114,182481,90973
68589,748,3452,15004,-135,126,-56,182396,90969
68731,868,3436,15096,-135,18,-44,182397,90923
68871,784,3432,15016,-149,29,-38,182574,90951
69011,948,3448,15076,-144,-20,18,182601,91016
69151,876,3524,15060,-179,36,-86,182374,91027
69291,808,3520,14892,-224,53,-101,182434,90999
69431,916,3476,14956,-248,118,-94,182441,90981
69573,780,3448,15060,-220,172,-131,182664,90988
69713,792,3476,14936,-183,-32,-120,182447,90941
69853,724,3404,15016,-182,53,-100,182411,91054
69993,748,3356,15128,-208,107,-112,182505,91043
70133,844,3444,15116,-166,50,-95,182551,91040
70273,988,3456,15036,-171,43,-86,182613,90996
70415,832,3488,15032,-175,100,-97,182525,90998
70555,828,3408,14996,-175,113,-82,182499,90994
70695,800,3436,15040,-209,64,-82,182446,91125
70835,872,3428,15028,-157,118,-75,182632,91059
70975,800,3432,15028,-165,5,-120,182500,91032
