time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
81839,6980,13132,8732,-2329,-2627,5128,158389,72480
81979,6544,11892,9828,-5836,-7072,6695,158520,72652
82119,9960,10140,10100,-10394,-6583,6857,158273,72501
82259,11264,7104,7696,-12724,-5252,5602,158287,72466
82401,10924,4312,5756,-10862,-4909,810,158312,72431
82541,12004,4780,5248,-4378,-2913,-8783,158488,72446
82681,13504,5620,5800,-1634,-776,-14593,158427,72617
82821,14120,8960,4684,-464,-3638,-13607,158243,72491
82961,13480,10692,5160,443,-2581,-9651,157852,72405
83103,14040,11232,3904,19,-1205,-4167,157783,72294
83243,11144,13376,5628,-672,-1610,-89,157808,72265
83383,10836,11828,5008,-1827,5357,6673,157968,72467
83523,10292,12200,4988,-4171,3195,8106,157755,72394
83663,10720,9344,7700,-2253,3288,7709,157923,72424
83805,9860,5556,8768,-375,4010,4837,157651,72275
83945,8280,5300,7844,2237,426,-1806,158265,72429
84085,10904,8188,8052,5573,1638,-6510,158068,72506
84689,10668,10004,6588,4505,2274,-6685,0,0
84827,11980,9604,7728,-791,6531,13131,157269,72319
84967,13744,9304,8356,-2953,4162,13299,157018,72236
85107,10856,5908,7572,-787,6479,12117,157133,72213
85249,9164,3852,9256,-672,4907,7090,157273,72251
85389,9948,2220,11352,-973,1996,3519,157224,72240
85529,10412,1184,13976,-2292,5599,4981,156487,72177
85669,6472,-1244,12492,-1580,6149,6384,155875,72087
85809,6352,-1420,14148,861,2627,6525,156132,72164
85951,5496,-2172,13688,1350,551,4708,156549,72294
86091,7320,-1788,13628,4231,313,5579,156881,72400
86231,4756,-1900,14620,419,2280,8976,156766,72416
86371,5364,-3424,13252,-1080,-3860,10473,157009,72417
86511,6916,-5116,12108,3729,-12989,6957,157144,72394
86653,10220,-3580,11404,8695,-5331,6789,157373,72411
86793,12728,-3676,12604,7941,-3585,9548,157168,72382
86933,10528,-3788,9296,10346,2565,14709,156935,72363
87073,6756,2704,9180,13839,-1184,271,156995,72340
87213,10584,10036,10256,12934,-7801,-12187,158156,72558
87355,9028,11424,9540,9463,2809,-15520,158586,72648
87495,7016,15408,8872,7250,525,-13520,158874,72706
87635,4864,13372,6476,2976,298,-6285,158748,72697
87775,3568,14552,6232,3559,4142,-4152,158738,72632
87915,2740,14684,5728,-164,-299,631,158408,72573
88057,4076,15820,7148,-2348,2014,3690,158123,72507
88197,4732,14280,5640,-4550,-45,6487,158201,72534
88337,4776,15148,4788,-214,5799,7136,158357,72716
88477,6468,14568,6140,-1204,6,5670,158440,72605
88617,7064,12004,5536,-1536,-2786,4376,158487,72632
88759,7460,12332,6280,-1276,-981,-672,158695,72687
88899,7636,13000,6256,-649,-3085,-6049,158684,72648
89039,6096,14004,5484,406,-1992,-8027,158526,72805
89179,4524,14508,4948,-513,-5193,-8982,158696,72732
89319,4280,15152,5704,3269,-1743,-9365,158622,72701
89461,2740,15056,6100,1987,-2772,-7035,158744,72685
89601,2260,14332,5636,-947,-3427,-2376,158506,72611
89741,2864,15760,4972,-1731,-3166,-197,158494,72782
89881,2324,14992,4792,-1473,485,2980,158603,72766
