time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
141745,4788,-1936,13168,-1892,2364,1353,176349,85689
141887,4692,-2920,14772,-2072,2102,1443,176136,85616
142027,5112,-4824,18536,-6814,4356,1690,175973,85695
142167,1972,-8172,13656,-18293,3033,8591,176151,85832
142307,-396,-9808,4624,-10897,2147,7440,176587,85903
142447,-6192,-4500,-4832,29576,-10530,-18569,175474,85627
142589,16204,7612,32767,8261,-2826,-6419,178787,86229
142729,3860,-3324,13812,-4894,-40,3318,176178,85717
142869,5600,-2612,14200,-1885,-779,1559,175537,85718
143009,5016,-4064,15952,-6928,314,3296,175311,85572
143149,3740,-8540,15420,-12094,2449,7203,175523,85662
143289,808,-10788,6884,-12656,1405,8279,175478,85661
143431,-2992,-6780,-1916,18161,15,-8352,174742,85372
143571,21108,13412,32767,15404,-11443,-14667,178078,86295
143711,3912,-6356,15820,-8862,2140,4544,176452,85858
143851,6908,-5064,14064,-7497,3015,4931,176403,85833
143991,5232,-5960,11492,-12153,446,8324,175604,85632
144133,-1160,-9736,4232,149,-1598,-202,174497,85308
144273,-1128,-4188,9272,32767,8253,-12425,174295,85337
144413,5412,-10076,21300,-10396,-9408,2122,176292,85786
144553,-396,-3440,12416,-7188,3158,3553,175291,85611
144693,5128,-5820,14760,-5732,1748,4549,175371,85637
144835,2440,-8672,12480,-9216,-80,8412,175080,85518
144975,1524,-9252,11244,-4324,996,6986,175838,85747
145115,-2292,-11952,8708,-389,311,2565,176051,85871
145255,-1680,-10540,11308,2540,1640,1963,177317,86204
145858,-2352,-8504,8632,3876,969,-774,0,0
146461,-744,-5684,13984,-7521,207,8177,0,0
147064,2064,-10360,16536,-11068,-11583,2787,0,0
147461,-2732,-12084,8744,-5656,-84,4487,0,86534
147601,4028,-6192,15168,-5786,-269,4425,177705,86162
147741,4796,-1880,14960,-3751,-1466,2787,177528,86145
147881,3036,-5380,16400,-7096,2898,4888,177529,86124
148023,2260,-7676,12988,-14377,-972,8090,177320,86029
148163,-892,-9576,4576,-3561,-1687,5778,176478,85882
148303,-6584,-4072,1748,32767,4093,-21440,175126,85591
148443,9924,-9048,22748,-8630,-4499,6035,178335,86105
148583,500,-3332,13520,-6386,555,4789,177144,86082
148725,4180,-5480,14452,-4007,-577,4634,177267,86031
148865,936,-7672,14272,-8472,-629,5481,176627,85862
149005,1972,-10444,11040,-10503,1448,7699,177318,86154
149145,-2992,-9848,6636,-270,2197,3149,177380,86168
149285,-15036,-4500,-1772,29350,8053,-32768,174880,85674
149425,16012,-11312,17156,-1935,-729,2703,178381,86208
149567,6004,-2732,13444,-4125,-1176,1122,177595,86152
149707,5168,-4444,12708,887,-2239,540,176538,85974
149847,8352,-5380,15448,-2158,-1114,2320,176293,85947
149987,7004,-6732,15132,-9950,702,10583,176328,85903
150127,552,-9080,6708,-6450,-4581,11777,175528,85648
150269,-14008,-7024,-2972,29924,1460,-32768,173722,85333
150409,16320,-10072,16284,-3998,-8738,3333,176053,85596
150549,5508,-1788,13048,530,-518,1195,174712,85655
150689,8488,-1848,13400,1041,1518,-369,174810,85532
150829,7912,-2820,14912,-4614,504,2215,174741,85507
150971,8920,-4396,14828,-7255,1754,7743,174757,85438
151111,3816,-7084,12436,-10665,1694,10806,174729,85497
151251,4124,-10364,8900,-8066,-1802,8163,175543,85786
151391,-1372,-10840,4292,6870,4229,1683,175979,85747
151531,-52,-2580,7068,32767,17272,-32768,175942,86166
151673,6268,-11976,16168,-4945,-1462,4611,177330,86034
151813,4092,416,13720,-3989,-692,819,177356,86109
151953,5460,-768,15092,-2640,-161,2878,177194,86131
152093,3508,-4300,16528,-5019,-705,3591,177037,86130
152233,2200,-6996,14584,-8570,-708,8973,176753,86040
152373,1600,-7776,12988,-9956,-1457,9129,177367,86173
152515,-1688,-8852,3996,3450,-3265,3245,177373,85971
152655,7996,18124,32767,21720,6283,-24903,179536,86752
152795,404,-3788,13316,-4182,6838,5012,177018,86086
152935,2424,-2704,13416,-240,1280,-228,176864,85985
153075,3292,-2224,15700,-472,1014,266,176781,85924
153217,2960,-3944,17036,-4024,1116,924,176811,85925
153357,3004,-5888,15040,-8972,451,4898,176724,85863
153497,3004,-7668,12148,-11053,-652,9906,176785,86120
